lift,metric,load_kg,reps,sets,rir,date,notes
bench_press,top_set_pr,27.5,8,1,0,2026-03-05,light bench top set marked as PR for the week
bench_press,top_set_pr,32.5,6,1,1,2026-03-07,heavy bench top set marked as PR for the week
squat,work_set_pr,55,5,3,,2026-03-06,heavy squat work sets marked as PR for the week (source RIR > 2)
deadlift,work_set_pr,60,5,3,2,2026-03-03,heavy deadlift work sets marked as PR for the week
deadlift,work_set_pr,62.5,5,3,,2026-03-10,heavy deadlift work sets marked as PR for the week; RPE 7; included one misloaded single at 67.5 kg during warm-up; no rep drop; preload drifted into bar break from floor
