date,week,run_type,distance_km,duration_min,avg_hr,max_hr,rpe,elevation_m,surface,weather_c,notes
2026-03-06,2026-W10,easy,5.51,35.4,153,168,6,10,concrete,5,"make-up run (weather delay from previous day); location: Yizhuang Tongming Lake; felt good, not fatigued; raw duration 35'24''; humidity 27%; NE wind 11 km/h; sunny"
2026-03-12,2026-W11,easy,5.02,33.5,156,169,6,14,concrete,9,"felt fairly easy; location: Yizhuang Tongming Lake; windy; fastest 1km 6'15''; humidity 47%; SW wind 15 km/h"
2026-03-15,2026-W11,elliptical,,33,122,161,,,,,"post-lifting elliptical"
